id,youtube,twitter,discord,facebook,default,name,companyid,companyname
miru,UCFahBR2wixu0xOex84bXFvg,AnninMirudayo,,AnninMirudayo,True,杏仁ミル Annin Miru,,
ubye,UC-o-1qjKkMLq-ZFxXIzOUBQ,UbyeCloud,,Ubyecloud,True,悠白 Ubye,,
hoonie,UC6s0wLR0TZauzTVoGGw2r6g,hooniefriends,,hoonie.friends,True,β虎妮 Hoonie friends,yahoo,Yahoo
rayer,UCDb47NT3QzoCiorDtK9C_qg,ACGInspector,zXC2Bw5ZUs,,True,蕾兒 Rayer,acg,ACG稽查員 ACGInspector
rana,UCFEd5V7VcxBPPcuMGpmvkQA,RanaVtb,tobarana,RanaVtb,True,鳥羽樂奈 TobaRana,yenz,艷世設計 YENZdesign
shaya,UCU8O__T_J93Cnoi6HoRoPow,About_Shaya,3YeKzZB,Shaya-100558584706248,False,莎亞 Shaya,,
ruroro,UCRf7OJA3azS4RsGd_G96FUw,ruroroismek,,ruroroisme,True,璐洛洛 Ruroro,kolhunter,網紅獵人 KOL Hunter
kwakon,UCyZZMKRn-mUEkPzaqa9b6bg,kwa_kon,,VtuberKon,True,小空 KITSUNEKON,,
ikusen,UCKazkVudNQs8ZhwfXj_RNPw,Ikusen_,,ikusen.vtuber.52,True,いくせん Ikusen,acclaim,Acclaim 事務所
aoi,UCLZyaaUwBw2ZvwLt6uY3_bQ,SummerAoi_0810,,summer.aoi810,True,夏日葵,,
usagi,UC0u_-3zgLkSYpQOxlBi-5Ng,kuroxusagihime,,usagihime777,True,兔姬 USAGIHIME CLUB.,,
haruka,UCl1RVJbkPnpNbO9-CsDqPmQ,haruka_owl,,Harukaowl,True,星見遙 Haruka,,
tsmatch,UCXzEDlhV7wJuMY4c-Fvz7uQ,Tsmatch_T96,,,True,火柴 TSMATCH,,
tedobear,UCqy310kNTAokme7plaXTwQw,VirtualTedobear,,,False,虛擬熊頭 TedoBear,fourvirtual,4virtual
tedobear2,UCzHbCUKXn65icryUIgn1ETA,VirtualTedobear,,,True,泰多貝亞 TedoBear,fourvirtual,4virtual
kurita,UCsvSrfDReAqYM32_VW8t09w,nezumiyakurita,,101107638560961,True,鼠屋栗太 Kurita,,
asa,UCxm2qC7Z7cjDAd6yPyl-sKQ,AsaIfrit,,,True,Asa Ifrit Ch.,,
kaina,UCN7sEdAjj4Q--al9pDsCPOg,kaina0124,,kaina0124,True,灰名 Kaina,,
nyoro,UC4J0GZLM55qrFh2L-ZAb2LA,NyoroVanilla,,"104820211486861",True,香草奈若 Vanilla Nyoro,cyberlive,CyberLive
yuna,UCjj4xu_HzcrOr9Jsltw0gCQ,Mizunoyuna1,,Mizunoyuna321,True,水野魚娜 Mizuno yuna,cyberlive,CyberLive
yumemi,UCRUFY2ZCyVOvC-1rJIVZlKg,Kumonoue_Yumemi,,,True,雲之上夢見 YumemiChannel,,
fujinokuma,UCmyDLzP9ZBAK2JO4kUuJMRQ,fujinokuma_mama,,,True,藤乃熊 Fujinokuma,,
fengxu,UCYPSP_gJ-BcREmsDzBIaRvw,FengXu_vtb,,FengXuVTB,True,風絮 FengXu Ch.,,
himemiyayuka,UC1d1dmxkh_yanq1U1gli7jw,Hana_Yuukaa,,hanayuuka.girl,True,姬宮優花 Himemiya Yuka,,
sanmou,UCPqYxut8IQxG4HAMrJx5ffQ,3MouDolp,,,True,三毛毛毛 SanMou,fourvirtual,4virtual
lumina,UCc5cZPorgyc23wKN-Ng1R6w,lumina16569269,,broadbandhinet,True,Lumina,hinet,HiNet 光世代
lapis,UCb_9R8SZy_HSJi53zxVh7kg,ryoukenlapis,,105752011459849,True,綾賢ラピス Ryoken Lapis,,
pedko,UC2yG-9ekUwTs8Q0yMSycMxA,Padko_tablet,,Padko.Ch,True,平平子 Padko,changing,春魚工作室
fifteen,UC_UqaRNrLcaL4fp2IAPV0OQ,no15_rescute,,RESCUTE119,False,十五號 No.Fifteen,changing,春魚工作室
amamiyayume,UClQot-XYs9KQ2fmItSz4IjA,amamiyayume20,,amamiyayume20,False,雨宮夢 YUME Channel,,
sakuranoruu,UCgL6PS1vba90zrZW9xmiwng,sakuranoruu,,Wishswing,False,櫻野露 露露TIME,blossomlive,BlossomLIVE
choco,UCZVkCI9NKz7q9JVW9oiTQJA,ACGinspector2,A5aZpAQ,,True,邱可 Choco,acg,ACG稽查員 ACGInspector
zasasa,UCaN_Pq3x9pzhb7t9KhxQm8Q,spicy_zasasa,,110969990806061,False,夏莎莎 Zasasa,queenie722,七二二軍團 722Queenie
queenie,UCtWuTDvZeZ09COJ2SjfESzQ,722Queenie,,110969990806061,False,祈霓722 Ch.,queenie722,七二二軍團 722Queenie
